game_num,Site,Date,White,Black,Result,ECO,ECOUrl,UTCDate,UTCTime,WhiteElo,BlackElo,My ELO,Opponent Elo,TimeControl,Termination,StartTime,EndDate,EndTime,Full Opening Name,Main Opening Name,Variation Opening Name,Win-Loss-Draw,Total Moves,White Accuracy,Black Accuracay,Black Total Blunders,Black Total Mistakes,White Total Blundres,White Total Mistakes,Black First Blunder,Black First Mistake,White First Blunder,White First Mistake
1,Chess.com,2025.03.21,XDRIK2,FreakWhenSee,1-0,B06,https://www.chess.com/openings/Modern-Defense-Three-Pawns-Attack-3...d6-4.Nf3,2025.03.21,3:01:52,1554,1523,1523,1554,600,XDRIK2 won on time,3:01:52,2025.03.21,3:18:53,Modern Defense: Three Pawns Attack,Modern Defense,Three Pawns Attack,Loss,43,71.96,79.3,6,5,5,10,7,8,9,5
2,Chess.com,2025.03.23,FreakWhenSee,prxj,0-1,C25,https://www.chess.com/openings/Vienna-Game-Max-Lange-Vienna-Gambit,2025.03.23,15:01:48,1500,1542,1500,1542,600,prxj won on time,15:01:48,2025.03.23,15:17:18,"Vienna Game: Max Lange, Vienna Gambit",Vienna Game,"Max Lange, Vienna Gambit",Loss,31,84.07,76.88,3,2,4,1,5,10,23,10
3,Chess.com,2025.03.23,FreakWhenSee,saul-goodman1664,0-1,B01,https://www.chess.com/openings/Scandinavian-Defense-Closed-2...dxe4-3.Nxe4,2025.03.23,15:18:16,1478,1522,1478,1522,600,saul-goodman1664 won by resignation,15:18:16,2025.03.23,15:20:49,Scandinavian Defense: Closed,Scandinavian Defense,Closed,Loss,11,87.13,59.56,0,0,1,2,0,0,4,2
4,Chess.com,2025.03.23,FreakWhenSee,Aleksandar-Kocani,1-0,B15,https://www.chess.com/openings/Caro-Kann-Defense-2.d4-d5-3.Nc3,2025.03.23,15:21:15,1500,1483,1500,1483,600,FreakWhenSee won by checkmate,15:21:15,2025.03.23,15:27:44,Caro-Kann Defense,Caro-Kann Defense,Main Line,Win,25,75.23,79.72,5,1,1,4,11,21,13,2
5,Chess.com,2025.03.23,CeyhunZeynalob,FreakWhenSee,0-1,B07,https://www.chess.com/openings/Pirc-Defense-Modern-Defense-Geller-System-2...g6,2025.03.23,15:29:23,1463,1518,1518,1463,600,FreakWhenSee won by resignation,15:29:23,2025.03.23,15:42:14,"Pirc Defense: Modern Defense, Geller System",Pirc Defense,"Modern Defense, Geller System",Win,36,87.78,79.4,1,2,2,2,12,20,14,10
6,Chess.com,2025.03.23,Oscar-De-La-Rosa,FreakWhenSee,1-0,E60,https://www.chess.com/openings/Kings-Indian-Defense-Fianchetto-Yugoslav-Panno-System-6...Nc6,2025.03.23,15:43:22,1527,1499,1499,1527,600,Oscar-De-La-Rosa won by resignation,15:43:22,2025.03.23,15:55:39,"King's Indian Defense: Fianchetto, Yugoslav, Panno System",King's Indian Defense,"Fianchetto, Yugoslav, Panno System",Loss,23,100,80.28,0,3,0,0,0,10,0,0
7,Chess.com,2025.03.24,FreakWhenSee,drclimaxxx,1-0,B01,https://www.chess.com/openings/Scandinavian-Defense-Closed-2...d4-3.Nce2-e5,2025.03.24,2:14:57,1517,1488,1517,1488,600,FreakWhenSee won by checkmate,2:14:57,2025.03.24,2:27:06,Scandinavian Defense: Closed,Scandinavian Defense,Closed,Win,25,73.69,76.82,5,2,3,1,15,11,16,11
8,Chess.com,2025.03.24,FreakWhenSee,pogosb,1/2-1/2,B00,https://www.chess.com/openings/Kings-Pawn-Opening-St-George-Defense,2025.03.24,2:27:40,1520,1586,1520,1586,600,Game drawn by stalemate,2:27:40,2025.03.24,2:45:55,King's Pawn Opening: St. George Defense,King's Pawn Opening,St. George Defense,Draw,56,73.99,85.88,1,3,2,4,37,15,20,10
9,Chess.com,2025.03.24,gugar,FreakWhenSee,0-1,A41,https://www.chess.com/openings/Queens-Pawn-Opening-Rossolimo-Variation,2025.03.24,2:46:46,1534,1537,1537,1534,600,FreakWhenSee won by resignation,2:46:46,2025.03.24,2:53:53,Queen's Pawn Opening: Rossolimo Variation,Queen's Pawn Opening,Rossolimo Variation,Win,31,76.85,74.69,1,3,1,6,10,17,11,10
10,Chess.com,2025.03.24,FreakWhenSee,superptitpat,1-0,B01,https://www.chess.com/openings/Scandinavian-Defense-Closed-2...d4-3.Nce2-e5,2025.03.24,2:54:55,1552,1525,1552,1525,600,FreakWhenSee won by resignation,2:54:55,2025.03.24,2:58:17,Scandinavian Defense: Closed,Scandinavian Defense,Closed,Win,13,61.92,68.31,1,2,0,3,12,5,0,2
